site,block,paddock,genus_species,species_code,leaf_thickness_(mm),wet_leaf_weight_g,date,personelle,season,comments
FK,2,MG,Hedeoma_hispida,HEHI,0.024,0.0014,6/1/2022,KB_KVL,early,
TB,2,HG,Artemisia_frigida,ARFR,0.032,0.0014,6/30/2022,KB_AY,late,
FK,1,LG,Artemisia_frigida,ARFR,0.027,0.0014,7/2/2022,KB_MF,late,
FK,1,MG,Aristida_purpurea,ARPU,0.018,0.0014,7/2/2022,KB_MF,late,
TB,3,HG,Artemisia_frigida,ARFR,0.052,0.00141,6/30/2022,KB_AY,late,
TB,1,LG,Eremogone_hookeri,ERHO,0.045,0.0015,5/28/2022,KB_KVL,early,
TB,1,LG,Logfia_arvensis,LOAR,0.03,0.0015,5/28/2022,KB_KVL,early,
FK,1,HG,Alyssum_desetorum,ALDE,0.04,0.0015,5/30/2022,KB_KVL,early,
FK,2,HG,Logfia_arvensis,LOAR,0.038,0.0015,6/1/2022,KB_KVL,early,
FK,3,MG,Androsace_ occidentalis,ANOC,0.033,0.0015,6/1/2022,KB_KVL,early,
FK,3,HG,Hedeoma_hispida,HEHI,0.028,0.0015,6/2/2022,KB_KVL,early,
TB,2,LG,Artemisia_frigida,ARFR,0.03,0.0015,6/30/2022,KB_AY,late,
FK,2,MG,Artemisia_frigida,ARFR,0.038,0.0015,7/2/2022,KB_MF,late,
TB,1,LG,Descurainia_pinnata,DEPI,0.025,0.0016,5/28/2022,KB_KVL,early,
TB,1,MG,Alyssum_desetorum,ALDE,0.034,0.0016,5/28/2022,KB_KVL,early,
TB,2,LG,Phlox_hoodia,PHHO,0.028,0.0016,5/28/2022,KB_KVL,early,
TB,3,HG,Alyssum_desetorum,ALDE,0.048,0.0016,5/29/2022,KB_KVL,early,
FK,1,LG,Hedeoma_hispida,HEHI,0.037,0.0016,5/30/2022,KB_KVL,early,
TB,1,MG,Eremogone_hookeri,ERHO,0.041,0.0017,5/28/2022,KB_KVL,early,
FK,2,LG,Vulpia_octoflora,VUOC,0.037,0.0017,6/1/2022,KB_KVL,early,
TB,1,HG,Artemisia_frigida,ARFR,0.035,0.0017,6/30/2022,KB_AY,late,
TB,2,MG,Artemisia_frigida,ARFR,0.036,0.0017,6/30/2022,KB_AY,late,
TB,2,MG,Eremogone_hookeri,ERHO,0.043,0.0018,5/28/2022,KB_KVL,early,
FK,1,HG,Hedeoma_hispida,HEHI,0.037,0.0018,6/1/2022,KB_KVL,early,maybe KOMA?
FK,2,LG,Hedeoma_hispida,HEHI,0.047,0.0018,6/1/2022,KB_KVL,early,
FK,2,HG,Artemisia_frigida,ARFR,0.037,0.0018,7/2/2022,KB_MF,late,
FK,3,MG,Artemisia_frigida,ARFR,0.033,0.0018,7/2/2022,KB_MF,late,
TB,1,LG,Phlox_hoodia,PHHO,0.048,0.0019,5/28/2022,KB_KVL,early,
TB,1,MG,Descurainia_pinnata,DEPI,0.034,0.0019,5/28/2022,KB_KVL,early,
FK,2,HG,Bromus_arvensis,BRAR,0.037,0.0019,6/1/2022,KB_KVL,early,
FK,3,HG,Bromus_tectorum,BRTE,0.038,0.0019,6/1/2022,KB_KVL,early,
FK,3,HG,Poa_secunda,POSE,0.036,0.00198,6/2/2022,KB_KVL,early,
TB,1,LG,Hedeoma_hispida,HEHI,0.055,0.002,5/28/2022,KB_KVL,early,
TB,2,HG,Eremogone_hookeri,ERHO,0.048,0.002,5/28/2022,KB_KVL,early,
TB,3,LG,Alyssum_desetorum,ALDE,0.055,0.002,5/29/2022,KB_KVL,early,
TB,3,LG,Draba_reptans,DRRE,0.062,0.002,5/29/2022,KB_KVL,early,
TB,3,HG,Draba_reptans,DRRE,0.045,0.002,5/29/2022,KB_KVL,early,
FK,3,MG,Bromus_arvensis,BRAR,0.051,0.002,6/1/2022,KB_KVL,early,
FK,2,HG,Bromus_tectorum,BRTE,0.038,0.0021,6/1/2022,KB_KVL,early,
FK,3,HG,Artemisia_frigida,ARFR,0.031,0.0021,7/2/2022,KB_MF,late,
TB,2,MG,Bromus_tectorum,BRTE,0.026,0.0022,5/28/2022,KB_KVL,early,
TB,2,MG,Lithospermum_incisum,LIIN,0.045,0.0022,5/28/2022,KB_KVL,early,
TB,3,HG,Collomia_linearis,COLI,,0.0022,5/29/2022,KB_KVL,early,
TB,3,HG,Descurainia_pinnata,DEPI,0.041,0.0022,5/29/2022,KB_KVL,early,
TB,2,MG,Draba_reptans,DRRE,0.041,0.0023,5/28/2022,KB_KVL,early,
TB,1,MG,Lepidium_densiflorum,LEDE,0.037,0.0024,5/28/2022,KB_KVL,early,
FK,3,MG,Aristida_purpurea,ARPU,0.016,0.0026,7/2/2022,KB_MF,late,
TB,3,MG,Descurainia_pinnata,DEPI,0.057,0.0027,5/29/2022,KB_KVL,early,
TB,1,HG,Eremogone_hookeri,ERHO,0.046,0.0028,5/28/2022,KB_KVL,early,
FK,1,MG,Artemisia_frigida,ARFR,0.029,0.0028,7/2/2022,KB_MF,late,
TB,2,HG,Collomia_linearis,COLI,0.053,0.0029,5/28/2022,KB_KVL,early,
FK,3,HG,Bromus_arvensis,BRAR,0.028,0.003,6/1/2022,KB_KVL,early,
FK,3,LG,Artemisia_frigida,ARFR,0.037,0.003,7/2/2022,KB_MF,late,
TB,2,LG,Alyssum_desetorum,ALDE,0.036,0.0031,5/28/2022,KB_KVL,early,
TB,3,MG,Plantago_patagonica,PLPA,0.03,0.0031,5/29/2022,KB_KVL,early,
FK,1,LG,Alyssum_desetorum,ALDE,0.044,0.0031,5/30/2022,KB_KVL,early,
TB,1,MG,Phlox_hoodia,PHHO,0.059,0.0032,5/28/2022,KB_KVL,early,
FK,2,LG,Alyssum_desetorum,ALDE,0.033,0.0033,6/1/2022,KB_KVL,early,
TB,2,HG,Alyssum_desetorum,ALDE,0.063,0.0034,5/28/2022,KB_KVL,early,
TB,3,LG,Plantago_patagonica,PLPA,0.046,0.0034,5/29/2022,KB_KVL,early,
TB,3,HG,Hedeoma_hispida,HEHI,0.043,0.0034,5/29/2022,KB_KVL,early,
FK,2,HG,Alyssum_desetorum,ALDE,0.042,0.0034,6/1/2022,KB_KVL,early,
FK,1,MG,Alyssum_desetorum,ALDE,0.041,0.0035,5/30/2022,KB_KVL,early,
TB,1,HG,Hedeoma_hispida,HEHI,0.036,0.0036,5/28/2022,KB_KVL,early,
TB,2,LG,Hedeoma_hispida,HEHI,0.034,0.0036,5/28/2022,KB_KVL,early,
TB,3,HG,Logfia_arvensis,LOAR,0.033,0.0036,5/29/2022,KB_KVL,early,
FK,3,MG,Alyssum_desetorum,ALDE,0.041,0.0036,6/1/2022,KB_KVL,early,
FK,3,HG,Aristida_purpurea,ARPU,0.021,0.0036,7/2/2022,KB_MF,late,
TB,1,MG,Collomia_linearis,COLI,0.037,0.0037,5/28/2022,KB_KVL,early,
TB,3,MG,Eremogone_hookeri,ERHO,0.052,0.0037,5/29/2022,KB_KVL,early,
FK,3,MG,Bromus_tectorum,BRTE,0.034,0.0037,6/1/2022,KB_KVL,early,
TB,1,MG,Antennaria_parvifolia,ANPA,0.033,0.0038,5/28/2022,KB_KVL,early,
TB,3,LG,Descurainia_pinnata,DEPI,0.049,0.0038,5/29/2022,KB_KVL,early,
TB,3,LG,Eremogone_hookeri,ERHO,0.052,0.0038,5/29/2022,KB_KVL,early,
FK,3,LG,Logfia_arvensis,LOAR,0.052,0.0038,6/1/2022,KB_KVL,early,
TB,3,HG,Eremogone_hookeri,ERHO,0.047,0.0039,5/29/2022,KB_KVL,early,
TB,1,HG,Lepidium_densiflorum,LEDE,0.032,0.004,5/28/2022,KB_KVL,early,
TB,1,HG,Draba_reptans,DRRE,0.045,0.0041,5/28/2022,KB_KVL,early,
TB,3,MG,Logfia_arvensis,LOAR,0.045,0.0041,5/29/2022,KB_KVL,early,
FK,3,HG,Lepidium_densiflorum,LEDE,0.039,0.0041,6/2/2022,KB_KVL,early,
TB,2,MG,Picradeniopsis_ oppositifolia,PIOP,0.037,0.0042,5/28/2022,KB_KVL,early,
FK,1,HG,Artemisia_dracunculus,ARDR,0.033,0.0043,7/2/2022,KB_MF,late,
TB,2,LG,Oenothera_ siffrtescuns,OESU,0.04,0.0044,5/28/2022,KB_KVL,early,
TB,2,MG,Poa_secunda,POSE,0.038,0.0044,5/28/2022,KB_KVL,early,
FK,3,LG,Alyssum_desetorum,ALDE,0.041,0.0044,6/1/2022,KB_KVL,early,
FK,3,LG,Plantago_patagonica,PLPA,0.041,0.0044,6/1/2022,KB_KVL,early,
FK,2,MG,Plantago_patagonica,PLPA,0.031,0.0045,6/1/2022,KB_KVL,early,
FK,2,MG,Lepidium_densiflorum,LEDE,0.043,0.0047,6/1/2022,KB_KVL,early,
TB,1,LG,Collomia_linearis,COLI,0.034,0.0048,5/28/2022,KB_KVL,early,
TB,2,HG,Bromus_arvensis,BRAR,0.024,0.0048,5/28/2022,KB_KVL,early,
FK,1,LG,Bromus_arvensis,BRAR,0.022,0.0048,5/30/2022,KB_KVL,early,
FK,1,LG,Poa_secunda,POSE,0.027,0.0048,5/30/2022,KB_KVL,early,
FK,3,MG,Carex_duriuscula,CADU,0.028,0.0048,6/1/2022,KB_KVL,early,
TB,1,MG,Bromus_arvensis,BRAR,0.038,0.0049,5/28/2022,KB_KVL,early,
TB,1,HG,Logfia_arvensis,LOAR,0.037,0.0049,5/28/2022,KB_KVL,early,
TB,1,HG,Collomia_linearis,COLI,0.039,0.0051,5/28/2022,KB_KVL,early,
TB,1,LG,Aristida_purpurea,ARPU,0.017,0.0051,6/30/2022,KB_AY,late,
FK,3,HG,Artemisia_dracunculus,ARDR,0.037,0.0052,7/2/2022,KB_MF,late,
TB,1,MG,Lomatium_ foeniculaceum,LOFO,0.036,0.0053,5/28/2022,KB_KVL,early,
TB,2,MG,Hedeoma_hispida,HEHI,0.057,0.0053,5/28/2022,KB_KVL,early,
FK,3,HG,Alyssum_desetorum,ALDE,0.056,0.0053,6/1/2022,KB_KVL,early,
TB,1,LG,Gutierrezia_sarothrae,GUSA,0.041,0.0053,6/30/2022,KB_AY,late,
FK,3,MG,Poa_secunda,POSE,0.027,0.0054,6/1/2022,KB_KVL,early,
FK,2,LG,Artemisia_dracunculus,ARDR,0.042,0.0054,7/2/2022,KB_MF,late,Actually ARFR - change on datasheets
TB,1,LG,Draba_reptans,DRRE,0.06,0.0055,5/28/2022,KB_KVL,early,
TB,1,HG,Poa_secunda,POSE,0.026,0.0055,5/28/2022,KB_KVL,early,
TB,2,MG,Erigeron_canus,ERCA,0.04,0.0055,5/28/2022,KB_KVL,early,
TB,3,MG,Bromus_arvensis,BRAR,0.037,0.0055,5/29/2022,KB_KVL,early,
TB,1,MG,Aristida_purpurea,ARPU,0.02,0.0055,6/30/2022,KB_AY,late,
TB,2,LG,Logfia_arvensis,LOAR,0.04,0.0056,5/28/2022,KB_KVL,early,
TB,3,LG,Hedeoma_hispida,HEHI,0.043,0.0057,5/29/2022,KB_KVL,early,
TB,2,LG,Bouteloua_ gracilis,BOGR,0.028,0.0057,6/30/2022,KB_AY,late,
TB,1,MG,Draba_reptans,DRRE,0.045,0.0058,5/28/2022,KB_KVL,early,
TB,3,MG,Gutierrezia_sarothrae,GUSA,0.047,0.0058,6/30/2022,KB_AY,late,
FK,1,MG,Artemisia_dracunculus,ARDR,0.036,0.0058,7/2/2022,KB_MF,late,
FK,2,HG,Aristida_purpurea,ARPU,0.019,0.0058,7/2/2022,KB_MF,late,
TB,3,LG,Erigeron_pumilus,ERPU,0.044,0.0059,5/29/2022,KB_KVL,early,
FK,2,MG,Alyssum_desetorum,ALDE,0.061,0.0059,6/1/2022,KB_KVL,early,
TB,2,LG,Collomia_linearis,COLI,0.035,0.006,5/28/2022,KB_KVL,early,
TB,2,HG,Logfia_arvensis,LOAR,0.03,0.006,5/29/2022,KB_KVL,early,
TB,2,MG,Gutierrezia_sarothrae,GUSA,0.044,0.006,6/30/2022,KB_AY,late,
TB,2,LG,Gutierrezia_sarothrae,GUSA,0.041,0.0061,6/30/2022,KB_AY,late,
TB,3,MG,Bromus_tectorum,BRTE,0.023,0.0062,5/29/2022,KB_KVL,early,
FK,1,MG,Bromus_arvensis,BRAR,0.022,0.0062,5/30/2022,KB_KVL,early,
FK,1,MG,Plantago_patagonica,PLPA,0.046,0.0062,5/30/2022,KB_KVL,early,
TB,1,MG,Gutierrezia_sarothrae,GUSA,0.038,0.0062,6/30/2022,KB_AY,late,
TB,2,HG,Poa_secunda,POSE,0.024,0.0064,5/29/2022,KB_KVL,early,
TB,3,HG,Bromus_arvensis,BRAR,0.034,0.0064,5/29/2022,KB_KVL,early,
FK,1,HG,Bromus_tectorum,BRTE,0.029,0.0064,5/30/2022,KB_KVL,early,
TB,3,HG,Bouteloua_ gracilis,BOGR,0.041,0.0064,6/30/2022,KB_AY,late,
FK,2,MG,Artemisia_dracunculus,ARDR,0.031,0.0065,7/2/2022,KB_MF,late,
TB,2,LG,Lepidium_densiflorum,LEDE,0.032,0.0066,5/28/2022,KB_KVL,early,
TB,3,LG,Poa_secunda,POSE,0.03,0.0067,5/29/2022,KB_KVL,early,
FK,1,MG,Lydogesmia_juncea,LYJU,0.039,0.0067,5/30/2022,KB_KVL,early,
TB,1,MG,Oenothera_ siffrtescuns,OESU,0.028,0.0068,5/28/2022,KB_KVL,early,
TB,3,LG,Collomia_linearis,COLI,0.038,0.0068,5/29/2022,KB_KVL,early,
TB,2,MG,Logfia_arvensis,LOAR,0.053,0.0069,5/28/2022,KB_KVL,early,
FK,1,HG,Aristida_purpurea,ARPU,0.018,0.0069,7/2/2022,KB_MF,late,
TB,2,HG,Carex_duriuscula,CADU,0.051,0.007,5/28/2022,KB_KVL,early,
TB,3,HG,Poa_secunda,POSE,0.022,0.007,5/29/2022,KB_KVL,early,
TB,2,HG,Gutierrezia_sarothrae,GUSA,0.044,0.0072,6/30/2022,KB_AY,late,
FK,2,MG,Bouteloua_dactyloides,BODA,0.021,0.0073,7/2/2022,KB_MF,late,
FK,3,MG,Artemisia_dracunculus,ARDR,0.039,0.0074,7/2/2022,KB_MF,late,
FK,1,HG,Bromus_arvensis,BRAR,0.026,0.0075,5/30/2022,KB_KVL,early,
FK,1,LG,Artemisia_dracunculus,ARDR,0.037,0.0075,7/2/2022,KB_MF,late,
TB,1,LG,Oenothera_ siffrtescuns,OESU,0.038,0.0076,5/28/2022,KB_KVL,early,
FK,3,LG,Carex_filifolia,CAFI,0.04,0.0076,6/1/2022,KB_KVL,early,
FK,1,MG,Bromus_tectorum,BRTE,0.035,0.0078,5/30/2022,KB_KVL,early,
FK,2,LG,Poa_secunda,POSE,0.034,0.0078,6/1/2022,KB_KVL,early,
FK,2,MG,Bouteloua_gracilis,BOGR,0.021,0.0078,7/2/2022,KB_MF,late,
TB,1,HG,Gutierrezia_sarothrae,GUSA,0.048,0.0079,6/30/2022,KB_AY,late,
TB,1,LG,Hesperostipa_comata,HECO,0.032,0.008,5/28/2022,KB_KVL,early,
FK,3,MG,Bouteloua_gracilis,BOGR,0.022,0.008,7/2/2022,KB_MF,late,
TB,2,LG,Aristida_purpurea,ARPU,0.024,0.0081,6/30/2022,KB_AY,late,
FK,1,HG,Bouteloua_dactyloides,BODA,0.022,0.0081,7/2/2022,KB_MF,late,
TB,2,HG,Oenothera_ siffrtescuns,OESU,0.039,0.0082,5/29/2022,KB_KVL,early,
TB,2,LG,Artemisia_tridentata,ARTR,0.037,0.0082,6/30/2022,KB_AY,late,
TB,2,HG,Artemisia_tridentata,ARTR,0.049,0.0082,6/30/2022,KB_AY,late,
TB,1,MG,Carex_duriuscula,CADU,0.034,0.0083,5/28/2022,KB_KVL,early,
TB,2,MG,Erigeron_pumilus,ERPU,0.029,0.0084,5/28/2022,KB_KVL,early,
TB,1,LG,Bouteloua_ gracilis,BOGR,0.018,0.0084,6/30/2022,KB_AY,late,
FK,3,MG,Bouteloua_dactyloides,BODA,0.024,0.0084,7/2/2022,KB_MF,late,
TB,3,HG,Carex_filifolia,CAFI,0.032,0.0085,5/29/2022,KB_KVL,early,
TB,1,LG,Poa_secunda,POSE,0.021,0.0086,5/28/2022,KB_KVL,early,
