site,genus_species,species_code,block,plant,percent_green,initial_growth,leaves,flower_heads,open_flowers,pollen_release,fruits,ripe_fruits,seed_drop,emerging_leaves,developed_leaves,height_cm,scenesced_leaves,biomass_mg,leaf_thickness_mm,leaf_area_cm,wet_weight_g,leaf_mg,comments,,
FK,Koeleria_macrantha,cafi,1,3,98,n,y,n,n,n,n,n,n,1,3,16.1,1,28.467,0.17,0.581,0.02,8.732,,,
FK,Koeleria_macrantha,cafi,2,1,100,n,y,n,n,n,n,n,n,2,2,10.8,0,13.44,0.11,0.603,0.017,6.96,,,
FK,Koeleria_macrantha,cafi,2,2,90,n,y,n,n,n,n,n,n,3,3,16.6,2,30.16,0.19,0.882,0.024,10.66,,,
FK,Koeleria_macrantha,cafi,2,3,90,n,y,n,n,n,n,n,n,1,2,14.7,0,19.28,0.24,0.704,0.025,11.26,,,
FK,Koeleria_macrantha,cafi,3,1,90,n,y,n,n,n,n,n,n,1,2,11,0,9,0.22,0.8,0.024,7.42,,,
FK,Koeleria_macrantha,cafi,3,2,70,n,y,n,n,n,n,n,n,1,2,10.6,0,8.53,0.35,0.566,0.019,7.49,,,
FK,Koeleria_macrantha,cafi,3,3,85,n,y,n,n,n,n,n,n,1,3,12.9,0,17.77,0.26,0.768,0.02,9.33,,,
FK,Logfia_arvensis,loar,1,1,8,n,y,y,n,n,y,n,n,1,4,3.7,13,2.069,0.18,0.012,0.0001,no leaf,,,
FK,Logfia_arvensis,loar,1,2,30,n,y,y,n,n,y,n,n,0,9,6.6,14,12.68,0.1,0.038,0.0001,no leaf,,,
FK,Logfia_arvensis,loar,1,3,55,n,y,y,n,n,y,n,n,0,16,8.1,10,13.5,0.13,,0.0001,no leaf,,,
FK,Logfia_arvensis,loar,2,1,10,n,y,y,n,n,y,n,n,0,3,4.1,10,2.1,999,999,999,no leaf,,,
FK,Logfia_arvensis,loar,2,2,20,n,y,y,n,n,y,n,n,17,6,9.5,0,13.97,0.14,0.048,0.0001,no leaf,,,
FK,Logfia_arvensis,loar,2,3,15,n,y,y,n,n,y,n,y,0,3,7,18,8.21,0.09,,0.0001,no leaf,,,
FK,Logfia_arvensis,loar,3,1,40,n,y,y,n,n,n,n,n,0,10,6.5,17,7.34,0.11,0.034,0.001,0.09,,,
FK,Logfia_arvensis,loar,3,2,30,n,y,y,n,n,n,n,n,2,9,8.9,15,9.03,0.15,0.045,0.001,0.12,,,
FK,Logfia_arvensis,loar,3,3,75,n,y,y,n,n,n,n,n,1,17,7.8,11,10.79,0.08,0.028,0.001,0.09,,,
FK,Pediomelum_esculentum,pees,1,1,100,n,y,y,n,n,y,n,n,1,16,24.5,0,3689.01,0.24,,0.168,58.035,,,
FK,Pediomelum_esculentum,pees,1,2,100,n,y,y,n,n,y,n,n,1,10,19.4,0,1159.009,0.3,,0.322,91.62,,,
FK,Pediomelum_esculentum,pees,1,3,100,n,y,y,n,n,n,n,n,2,11,18.9,0,1282.6,0.3,,0.119,36.808,,,
FK,Pediomelum_esculentum,pees,2,1,99,n,y,y,n,n,y,n,n,3,14,18.4,0,1339.8,0.22,,0.129,52.08,,,
FK,Pediomelum_esculentum,pees,2,2,100,n,y,n,n,n,n,n,n,4,23,25.4,0,2230.6,0.25,,0.16,54.77,,,
FK,Pediomelum_esculentum,pees,2,3,95,n,y,y,n,n,y,n,n,5,38,23.8,3,5094.3,0.23,,0.102,45.42,Biomass2926.7,orange -> 2 of 2,Green -> 1 of 2
FK,Pediomelum_esculentum,pees,3,1,100,n,y,y,y,y,n,n,n,3,10,19.9,0,1535.9,0.31,2.405,0.076,25.38,,,
FK,Pediomelum_esculentum,pees,3,2,99,n,y,y,y,y,n,n,n,1,9,17.4,0,822.9,0.41,7.465,0.346,109.9,,,
FK,Pediomelum_esculentum,pees,3,3,99,n,y,y,y,n,n,n,y,5,18,21.1,0,3125.8,0.26,4.511,0.139,50.54,,,
FK,Sphaeralcea_coccinea,spco,1,1,98,n,y,n,n,n,n,n,n,0,8,8.1,0,185.875,0.31,,0.04,16.177,,,
FK,Sphaeralcea_coccinea,spco,1,2,100,n,y,n,n,n,n,n,n,1,6,9.5,0,212.645,0.32,,0.065,25.223,,,
FK,Sphaeralcea_coccinea,spco,1,3,95,n,y,n,n,n,n,n,n,0,10,10,0,273.709,0.23,,0.041,14.701,,,
FK,Sphaeralcea_coccinea,spco,2,1,70,n,y,n,n,n,n,n,n,0,6,5.7,1,151.77,0.28,,0.024,12.12,,,
FK,Sphaeralcea_coccinea,spco,2,2,97,n,y,n,n,n,n,n,n,0,6,9.3,1,215.2,0.31,,0.095,34.33,,,
FK,Sphaeralcea_coccinea,spco,2,3,100,n,y,n,n,n,n,n,n,1,9,11.7,0,412.87,0.26,,0.06,28.54,,,
FK,Sphaeralcea_coccinea,spco,3,1,100,n,y,n,n,n,n,n,n,8,10,13,0,356.57,0.29,1.794,0.065,23.04,,,
FK,Sphaeralcea_coccinea,spco,3,2,95,n,y,n,n,n,n,n,n,2,7,10.2,0,178.25,0.29,1.948,0.056,22.58,,,
