site,genus_species,species_code,block,paddock,plant,leaf_thickness_(mm),wet_leaf_weight_g,dry_plant_weight_g,dry_leaf_weight_g,date,comments
TB,Artemisia_frigida,ARFR,1,LG,,0.3,0.0009,,,7/6/21,
TB,Aristida_purpurea,ARPU,1,LG,,0.32,0.0178,,,7/6/21,
TB,Artemisia_tridentata,ARTR,1,LG,,0.4,0.0016,,,7/6/21,
TB,Bouteloua_gracilis,BOGR,1,LG,,0.2,0.0099,,,7/6/21,
TB,Koeleria_macrantha,KOMA,1,LG,,0.37,0.0396,,,7/6/21,
TB,Logfia_arvensis,LOAR,1,LG,,, ,,,7/6/21,no bag 
TB,Pascopyrum_smithii,PASM,1,LG,,0.43,0.0996,,,7/6/21,
TB,Poa_secunda,POSE,1,LG,,,,,,7/6/21,no bag
TB,Sphaeralcea_coccinea,SPCO,1,LG,,0.54,0.024,,,7/6/21,
TB,Vicia_americana,VIAM,1,LG,,,,,,7/6/21,no bag
TB,Artemisia_frigida,ARFR,1,MG,,0.29,0.0018,,,7/6/21,
TB,Aristida_purpurea,ARPU,1,MG,,0.13,0.005,,,7/6/21,
TB,Artemisia_tridentata,ARTR,1,MG,,0.32,0.0012,,,7/6/21,
TB,Bouteloua_gracilis,BOGR,1,MG,,0.2,0.0133,,,7/6/21,
TB,Koeleria_macrantha,KOMA,1,MG,,0.39,0.0262,,,7/6/21,not labled on scanned sheet
TB,Logfia_arvensis,LOAR,1,MG,,,,,,7/6/21,no bag
TB,Pascopyrum_smithii,PASM,1,MG,,0.45,0.111,,,7/6/21,
TB,Poa_secunda,POSE,1,MG,,,,,,7/6/21,no bag
TB,Sphaeralcea_coccinea,SPCO,1,MG,,0.65,0.0391,,,7/6/21,
TB,Vicia_americana,VIAM,1,MG,,,,,,7/6/21,no bag
TB,Artemisia_frigida,ARFR,1,HG,,0.5,0.0017,,,7/6/21,
TB,Aristida_purpurea,ARPU,1,HG,,0.29,0.0031,,,7/6/21,
TB,Artemisia_tridentata,ARTR,1,HG,,0.4,0.0009,,,7/6/21,
TB,Bouteloua_gracilis,BOGR,1,HG,,0.28,0.0101,,,7/6/21,
TB,Koeleria_macrantha,KOMA,1,HG,,0.44,0.0361,,,7/6/21,
TB,Logfia_arvensis,LOAR,1,HG,,,,,,7/6/21,no bag
TB,Pascopyrum_smithii,PASM,1,HG,,0.4,0.0594,,,7/6/21,
TB,Poa_secunda,POSE,1,HG,,,,,,7/6/21,no bag
TB,Sphaeralcea_coccinea,SPCO,1,HG,,0.48,0.0571,,,7/6/21,
TB,Vicia_americana,VIAM,1,HG,,,,,,7/6/21,no bag
TB,Artemisia_frigida,ARFR,2,LG,,0.24,0.0015,,,7/6/21,
TB,Aristida_purpurea,ARPU,2,LG,,0.27,0.0159,,,7/6/21,
TB,Artemisia_tridentata,ARTR,2,LG,,0.36,0.0078,,,7/6/21,
TB,Bouteloua_gracilis,BOGR,2,LG,,0.31,0.0136,,,7/6/21,
TB,Koeleria_macrantha,KOMA,2,LG,,0.45,0.0549,,,7/6/21,
TB,Logfia_arvensis,LOAR,2,LG,,,,,,7/6/21,no plant in bag
TB,Pascopyrum_smithii,PASM,2,LG,,0.42,0.0611,,,7/6/21,
TB,Poa_secunda,POSE,2,LG,,,,,,7/6/21,no plant in bag
TB,Sphaeralcea_coccinea,SPCO,2,LG,,0.36,0.0244,,,7/6/21,
TB,Vicia_americana,VIAM,2,LG,,,,,,7/6/21,no plant in bag
TB,Artemisia_frigida,ARFR,2,MG,,0.29,0.0011,,,7/6/21,
TB,Aristida_purpurea,ARPU,2,MG,,0.31,0.0249,,,7/6/21,
TB,Artemisia_tridentata,ARTR,2,MG,,0.44,0.0051,,,7/6/21,
TB,Bouteloua_gracilis,BOGR,2,MG,,0.23,0.0167,,,7/6/21,
TB,Koeleria_macrantha,KOMA,2,MG,,0.37,0.0249,,,7/6/21,
TB,Logfia_arvensis,LOAR,2,MG,,,,,,7/6/21,no plant in bag
TB,Pascopyrum_smithii,PASM,2,MG,,0.4,0.0945,,,7/6/21,
TB,Poa_secunda,POSE,2,MG,,,,,,7/6/21,no plant in bag
TB,Sphaeralcea_coccinea,SPCO,2,MG,,0.56,0.0398,,,7/6/21,
TB,Vicia_americana,VIAM,2,MG,,,,,,7/6/21,no plant in bag
TB,Artemisia_frigida,ARFR,2,HG,,0.35,0.0008,,,7/6/21,
TB,Aristida_purpurea,ARPU,2,HG,,0.26,0.016,,,7/6/21,
TB,Artemisia_tridentata,ARTR,2,HG,,0.33,0.0028,,,7/6/21,
TB,Bouteloua_gracilis,BOGR,2,HG,,0.35,0.0223,,,7/6/21,
TB,Koeleria_macrantha,KOMA,2,HG,,0.44,0.0459,,,7/6/21,
TB,Logfia_arvensis,LOAR,2,HG,,,,,,7/6/21,no plant in bag
TB,Pascopyrum_smithii,PASM,2,HG,,0.48,0.0834,,,7/6/21,
TB,Poa_secunda,POSE,2,HG,,,,,,7/6/21,no plant in bag
TB,Sphaeralcea_coccinea,SPCO,2,HG,,0.41,0.0434,,,7/6/21,
TB,Vicia_americana,VIAM,2,HG,,,,,,7/6/21,no plant in bag
TB,Artemisia_frigida,ARFR,3,LG,,0.37,0.0007,,,7/6/21,
TB,Aristida_purpurea,ARPU,3,LG,,,,,,7/6/21,no plant in bag
TB,Artemisia_tridentata,ARTR,3,LG,,0.55,0.0044,,,7/6/21,
TB,Bouteloua_gracilis,BOGR,3,LG,,0.23,0.013,,,7/6/21,
TB,Koeleria_macrantha,KOMA,3,LG,,0.37,0.0222,,,7/6/21,
TB,Logfia_arvensis,LOAR,3,LG,,,,,,7/6/21,no plant in bag
