,,,,,,,,,,,,,,,,Opuntia pads #,Aristida purpurea,Bouteloua gracilis,Bromus tectorum,Hesperostipa comata,Koeleria macrantha,Nassella viridula,Pascopyrum smithii,Poa secunda,Vulpia octoflora,Carex duriuscula,Carex filifolia,Artemisia dracunculus,Artemisia frigida,Artemisia tridentata,Coryphantha vivipara,Gutierrezia sarothrae,Opuntia polyacantha,Allium textile,Alyssum desertorum,Draba reptans,Eremogone hookeri,Hedeoma hispida,Lepidium densiflorum,Lithospermum incisum,Logfia arvensis,Lomatium foeniculaceum,Musineon divaricatum,Oenotherea suffrutescens,Phlox hoodii,Plantago patagonica,Psoralidium tenuiflorum,Sphaeralcea coccinea,Taraxacum officinale,Tragopogon dubius,Vicia americana,Androsace occidentalis,Antennaria parvifolia,Astragalus lotiflorus,Astragalus bisulcatus,Bouteloua dactyloides,Bromus arvensis,Camelina microcarpa,Chamaesyce nutans,Cirsium canescens,Cirsium undulatum,Conyza canadensis,Collomia linearis ,Comandra umbellata,Descurainia pinnata,Descurainia sophia,Draba nemorosa,Elymus elymoides,Erigeron canus,Erigeron divergens/ochroleucus,Erigeron pumilus,Grindelia squarrosa,Lesquerella arenosa,Lesquerella ludoviciana,Leucocrinum montanum,Liatris punctata,Linum rigidum,Lygodesmia juncea,Machaeranthera canescens,Machaeranthera grindelioides,Machaeranthera pinnatifida,Nothocalais cuspidata,Nuttallanthus texanus,Oenotherea suffrutescens,Orobanche fasciculata,Penstemon albidus,Penstemon eriantherus,Pediomelum esculentum,Picradeniopsis oppositifolia,Polygonum aviculare,Scorzonera laciniata,Schedonnardus paniculatus,Sporobolus cryptandrus,Tetraneuris acaulis,Tradescantia occidentalis,Veronica peregrina,Viola nuttallii ,Zigadenus venenosus,Lupinus pusillus,STANDING DEADArtemisia tridentata,STANDING DEAD Bromus arvensis,STANDING DEAD Bromus tectorum,STANDING DEAD Logfia arvensis,STANDING DEAD Pascopyrum smithii,Penstemon sp.,CRCE/LELU/Penstemon sp,Oenothera?,Unknown #7 baby guara?,UNKN8 basal rosette lancroiati,Unk #3 Basal Rosette,Unk #3 soft point leaf KW photo,Unkn #10 small linear leaf KW photo,Cirsium sp.,Oneothera n?,,,NOTES
entered_by,observers,date,year,site,plot,aerial_basal,estimated_total,added_total_datasheet,added_total_excel,bare,dung,lichen,litter,moss,mushroom,OPPO_PADS,ARPU,BOGR,BRTE,HECO,KOMA,NAVI,PASM,POSE,VUOC,CADU,CAFI,ARDR,ARFR,ARTR,COVI,GUSA,OPPO,ALTE,ALDE,DRRE,ERHO,HEHI,LEDE,LIIN,LOAR,LOFO,MUDI,OESU,PHHO,PLPA,PSTE,SPCO,TAOF,TRDU,VIAM,ANOC,ANPA,ASLO,ASBI,BODA,BRAR,CAMI,CHNU,CICA,CIUN,COCA,COLI,COUM,DEPI,DESO,DRNE,ELEL,ERCA,ERDI,ERPU,GRSQ,LEAR,LELU,LEMO,LIPU-liatris,LIRI,LYJU,MACA,MAGR,MAPI,NOCU,NUTE,OESU,ORFA,PEAL,PEER,PEES,PIOP,POAV,SCLA,SCPA,SPCR,TEAC,TROC,VEPE,VINU,ZIVE,LUPU,SDARTR,SDBRAR,SDBRRTE,SDLOAR,SDPASM,PESP,,,,,,,,CISP,,Rock,Moss/Lichen/Bogr overlap,
Jill Baty,Kim LaPierre,6/23/18,2018,TB,17,Basal,40,38,38,25,0,0.5,36,0.5,,,,1,0.5,0.5,10,,4,4,0,0.5,0,,0,1,,,5,0,0,0,,0.5,0,,8,0.5,,,,0.5,,0.5,0,0,,,,,,,0.5,0,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Jill Baty,Kim LaPierre,6/23/18,2018,TB,18,Aerial,60,62,62,17,0.5,2,19,0,0.5,,,7,1,0,15,,2,7,1,1,0,,0,0,,,0,0,0,0,,0.5,0.5,,25,0,,,,1,,0.5,0,0,,,,,,,0.5,0,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,.,Cover of mushroom: 0.5
Jill Baty,Kim LaPierre,6/23/18,2018,TB,18,Basal,40,39,38.5,22,1,2,36,0,0.5,,,5,0.5,0,10,,0.5,4,0.5,0.5,0,,0,0,,,0,0,0,0,,0.5,0.5,,15,0,,,,0.5,,0.5,0,0,,,,,,,0.5,0,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Cover of mushroom: 0.5
Jill Baty,"Sally Koerner, Kim LaPierre",6/22/18,2018,TB,53,Aerial,42,40.5,40.5,30,0.5,21,5,0,,,,0,0,0,8,0,13,1,0,0,0,,0,8,,2,0,0,0.5,0,,0,0,,0.5,0,1,,0,0.5,,0,0.5,0,1,,,,,,4,0,,,,,0.5,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,.,
Jill Baty,"Sally Koerner, Kim LaPierre",6/22/18,2018,TB,53,Basal,21,20.5,20.5,40,0.5,21,15,0,,,,0,0,0,6,0,8,0.5,0,0,0,,0,1,,0.5,0,0,0.5,0,,0,0,,0.5,0,0.5,,0,0.5,,0,0.5,0,0.5,,,,,,1,0,,,,,0.5,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,.,
Jill Baty,Sally Koerner,6/22/18,2018,TB,44,Aerial,75,78.5,80,12,0.5,7,5,0,,,,35,7,0,11,0,7,5,0,0.5,0,,0,0,,0,1,0.5,0.5,0.5,,0,0,,0,1,0,,0,1,,0,0,0,10,,,,,,0,0,,,,,0,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,.,
Jill Baty,Sally Koerner,6/22/18,2018,TB,44,Basal,50,50,50,28,0.5,7,14,0,,,,30,2,0,7,0,5,2,0,0.5,0,,0,0,,0,0.5,0.5,0.5,0.5,,0,0,,0,0.5,0,,0,0.5,,0,0,0,0.5,,,,,,0,0,,,,,0,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,.,
Jill Baty,Sally Koerner,6/22/18,2018,TB,48,Aerial,50,47.5,47,30,2,9,8,0,,,,0,0,0,14,4,10,2,0,0.5,0,,0,2,,0.5,0,0.5,0.5,0.5,,0,0,,0,0,0.5,,3,0,,1,0.5,0,6,,,,,,0.5,0,,,,,0,,,,0,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,.,
Jill Baty,Sally Koerner,6/22/18,2018,TB,48,Basal,22,25.5,25.5,40,3,9,25,0,,,,0,0,0,8,3,6,0.5,0,0.5,0,,0,0.5,,0.5,0,0.5,0.5,0.5,,0,0,,0,0,0.5,,2,0,,0.5,0.5,0,0.5,,,,,,0.5,0,,,,,0,,,,0,,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,.,
Jill Baty,Sally Koerner,6/22/18,2018,TB,19,Aerial,45,47.5,48.5,13,0.5,0.5,32,9,,,,2,0.5,4,20,0,6,6,1,0.5,0,,0,0,,0,1,0,0,0.5,,0.5,0,,6,0,0,,0,0,,0,0,0,0,,,,,,0.5,0,,,,,0,,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,.,
Jill Baty,Sally Koerner,6/22/18,2018,TB,19,Basal,35,32.5,32.5,20,0.5,0.5,39,9,,,,2,0.5,3,15,0,4,2,0.5,0.5,0,,0,0,,0,0.5,0,0,0.5,,0.5,0,,3,0,0,,0,0,,0,0,0,0,,,,,,0.5,0,,,,,0,,,,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,.,
Jill Baty,Lauren Porensky,6/22/18,2018,TB,3,Aerial,90,97.5,97.5,1,0.5,0,5,4,,,,18,38,10,0,0,4,2,0.5,0,10,,0,0,,0,0,0,0,0.5,,0.5,0,,12,0,0,0.5,0,0.5,,0,0,0,0,,,,,,0,0,,,,0,0,1,,,0,,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.5,1,
Jill Baty,Lauren Porensky,6/23/18,2018,TB,3,Basal,60,56.5,56.5,3,1,0,32,4,,,,13,20,7,0,0,2,0.5,0.5,0,6,,0,0,,0,0,0,0,0.5,,0.5,0,,5,0,0,0.5,0,0.5,,0,0,0,0,,,,,,0,0,,,,0,0,0.5,,,0,,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.5,3,
Jill Baty,Lauren Porensky,6/22/18,2018,TB,7,Aerial,85,96,96,6,0,6,3,1,,,,50,0.5,4,2,0,3,3,0.5,0.5,0,,3,6,,0,0,0,0.5,0,,0.5,0.5,,16,0.5,0,0.5,0,0.5,,0,0,0,0,,,,,,3,0,,,,0,0,0,,,0,,0,0,0,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0,6,
Jill Baty,Lauren Porensky,6/23/18,2018,TB,7,Basal,65,66,65.5,8,0,6,20,1,,,,45,0.5,1,1,0,0.5,1,0.5,0.5,0,,2,2,,0,0,0,0.5,0,,0.5,0.5,,7,0.5,0,0.5,0,0.5,,0,0,0,0,,,,,,0.5,0,,,,0,0,0,,,0,,0,0,0,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,0,8,
Jill Baty,Lauren Porensky,6/22/18,2018,TB,12,Aerial,60,58.5,58,17,0,13,4,3,,,,28,0,0,14,0,4,2,0,0,0,,0,0.5,,0,0,0,0.5,0.5,,0.5,1,,4,0.5,0.5,0,0,0.5,,0.5,0,0,0,,,,,,0.5,0,,,,0.5,0,0,,,0,,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,6,17,
Jill Baty,Lauren Porensky,6/23/18,2018,TB,12,Basal,40,40.5,40,20,0,13,18,3,,,,23,0,0,8,0,2,0.5,0,0,0,,0,0.5,,0,0,0,0.5,0.5,,0.5,0.5,,1,0.5,0.5,0,0,0.5,,0.5,0,0,0,,,,,,0.5,0,,,,0.5,0,0,,,0,,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,8,20,
