Date sampled ,Sample depth,Date run,Year,Processed by,Site Name,PlotID,% Sand,% Clay,% Silt,Lab Notes
,,8/8/23,,John Dietrich and Jonah Zuckerman,FK,10,62.08,5.496,32.424,
,,8/8/23,,John Dietrich and Jonah Zuckerman,FK,11,63.504,5.712,30.784,
,,8/11/23,,John Dietrich and Jonah Zuckerman,FK,12,78.144,11.488,10.368,
,,8/1/23,,John Dietrich and Jonah Zuckerman,FK,13,57.892,6.424,35.684,average of two runs
,,8/11/23,,John Dietrich and Jonah Zuckerman,FK,14,57.072,10.488,32.44,
,,8/11/23,,John Dietrich and Jonah Zuckerman,FK,15,58.288,9.488,32.224,
,,8/11/23,,John Dietrich and Jonah Zuckerman,FK,16,61.216,11.488,27.296,
,,8/11/23,,John Dietrich and Jonah Zuckerman,FK,17,60.072,9.488,30.44,
,,8/11/23,,John Dietrich and Jonah Zuckerman,FK,18,61.144,9.56,29.296,
,,8/11/23,,John Dietrich and Jonah Zuckerman,FK,19,54.144,9.632,36.224,
,,8/15/23,,John Dietrich and Jonah Zuckerman,FK,20,55.504,14.432,30.064,
,,8/15/23,,John Dietrich and Jonah Zuckerman,FK,21,52.656,14,33.344,
,,8/15/23,,John Dietrich and Jonah Zuckerman,FK,22,55.656,11,33.344,
,,8/25/23,,John Dietrich and Jonah Zuckerman,FK,23,56.64,2.288,41.072,sample rerun after soil spilt
,,8/15/23,,John Dietrich and Jonah Zuckerman,FK,24,56.584,12.072,31.344,
,,8/25/23,,John Dietrich and Jonah Zuckerman,FK,25,55.712,4.288,40,sample rerun after soil spilt
,,8/15/23,,John Dietrich and Jonah Zuckerman,FK,26,58.432,11.504,30.064,
,,8/1/23,,John Dietrich and Jonah Zuckerman,FK,27,53.216,10.324,36.46,average of two runs
,,8/15/23,,John Dietrich and Jonah Zuckerman,FK,28,56.728,12,31.272,
,,8/16/23,,John Dietrich and Geena Poulter,FK,29,59.224,2.568,38.208,
,,8/16/23,,John Dietrich and Geena Poulter,FK,30,56.296,5.568,38.136,
,,8/16/23,,John Dietrich and Geena Poulter,FK,31,57.936,4.712,37.352,
,,8/16/23,,John Dietrich and Geena Poulter,FK,32,57.936,3.712,38.352,
,,8/16/23,,John Dietrich and Geena Poulter,FK,33,53.008,3.64,43.352,
,,8/16/23,,John Dietrich and Geena Poulter,FK,34,54.936,2.712,42.352,
,,8/16/23,,John Dietrich and Geena Poulter,FK,35,52.224,3.64,44.136,
,,8/16/23,,John Dietrich and Geena Poulter,FK,36,54.72,5.784,39.496,
,,8/16/23,,John Dietrich and Geena Poulter,FK,37,52.792,4.784,42.424,
,,8/22/23,,John Dietrich and Jonah Zuckerman,FK,38,51.856,2.144,46,
,,8/22/23,,John Dietrich and Jonah Zuckerman,FK,39,51.856,3.144,45,
,,8/22/23,,John Dietrich and Jonah Zuckerman,FK,40,56.928,0.144,42.928,
,,8/22/23,,John Dietrich and Jonah Zuckerman,FK,41,53.784,3.144,43.072,
,,8/22/23,,John Dietrich and Jonah Zuckerman,FK,42,53.856,4.144,42,
,,8/22/23,,John Dietrich and Jonah Zuckerman,FK,43,49.928,4.144,45.928,
,,8/22/23,,John Dietrich and Jonah Zuckerman,FK,44,49.928,3.144,46.928,
,,8/1/23,,John Dietrich and Jonah Zuckerman,FK,46,47.248,3.752,49,average of two runs
,,8/22/23,,John Dietrich and Jonah Zuckerman,FK,46,54,4.144,41.856,
,,8/23/23,,John Dietrich and Jonah Zuckerman,FK,47,49.072,0.216,50.712,
,,8/23/23,,John Dietrich and Jonah Zuckerman,FK,48,51.144,2.216,46.64,
,,8/23/23,,John Dietrich and Jonah Zuckerman,FK,49,52.072,2.288,45.64,
,,8/23/23,,John Dietrich and Jonah Zuckerman,FK,50,49.144,3.216,47.64,
,,8/23/23,,John Dietrich and Jonah Zuckerman,FK,51,54.288,2.216,43.496,
,,8/25/23,,John Dietrich and Jonah Zuckerman,FK,52,51.64,3.288,45.072,
,,8/25/23,,John Dietrich and Jonah Zuckerman,FK,53,56.568,3.36,40.072,
,,8/25/23,,John Dietrich and Jonah Zuckerman,FK,54,53.64,3.36,43,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
