"","year","site","plot","aerial_basal","Genus_Species","Relative_Cover","Common.Name","Native_Introduced","Functional_Group","Annual_Perennial"
"63",2018,"TB","21","Aerial","Bouteloua.gracilis",9.16030534351145,"blue grama","N","C4","P"
"64",2018,"TB","21","Basal","Bouteloua.gracilis",14.2857142857143,"blue grama","N","C4","P"
"65",2018,"TB","24","Aerial","Bouteloua.gracilis",1.44927536231884,"blue grama","N","C4","P"
"66",2018,"TB","24","Basal","Bouteloua.gracilis",1.47058823529412,"blue grama","N","C4","P"
"67",2018,"TB","27","Aerial","Bouteloua.gracilis",31.3253012048193,"blue grama","N","C4","P"
"68",2018,"TB","27","Basal","Bouteloua.gracilis",39.2156862745098,"blue grama","N","C4","P"
"69",2018,"TB","37","Aerial","Bouteloua.gracilis",69.3877551020408,"blue grama","N","C4","P"
"70",2018,"TB","37","Basal","Bouteloua.gracilis",76.1904761904762,"blue grama","N","C4","P"
"71",2018,"TB","38","Aerial","Bouteloua.gracilis",71.7647058823529,"blue grama","N","C4","P"
"72",2018,"TB","38","Basal","Bouteloua.gracilis",80,"blue grama","N","C4","P"
"73",2018,"TB","39","Aerial","Bouteloua.gracilis",77.9220779220779,"blue grama","N","C4","P"
"74",2018,"TB","39","Basal","Bouteloua.gracilis",84.7457627118644,"blue grama","N","C4","P"
"75",2018,"TB","40","Aerial","Bouteloua.gracilis",19.1082802547771,"blue grama","N","C4","P"
"76",2018,"TB","40","Basal","Bouteloua.gracilis",21.6216216216216,"blue grama","N","C4","P"
"77",2018,"TB","23","Aerial","Bouteloua.gracilis",60.2409638554217,"blue grama","N","C4","P"
"78",2018,"TB","23","Basal","Bouteloua.gracilis",71.1864406779661,"blue grama","N","C4","P"
"79",2018,"TB","26","Aerial","Bouteloua.gracilis",40.8163265306122,"blue grama","N","C4","P"
"80",2018,"TB","26","Basal","Bouteloua.gracilis",58.8235294117647,"blue grama","N","C4","P"
"81",2018,"TB","29","Aerial","Bouteloua.gracilis",40,"blue grama","N","C4","P"
"82",2018,"TB","29","Basal","Bouteloua.gracilis",52.3809523809524,"blue grama","N","C4","P"
"83",2018,"TB","31","Aerial","Bouteloua.gracilis",60.6060606060606,"blue grama","N","C4","P"
"84",2018,"TB","31","Basal","Bouteloua.gracilis",67.3076923076923,"blue grama","N","C4","P"
"85",2018,"TB","43","Aerial","Bouteloua.gracilis",20.9150326797386,"blue grama","N","C4","P"
"86",2018,"TB","43","Basal","Bouteloua.gracilis",26.9662921348315,"blue grama","N","C4","P"
"87",2018,"TB","25","Aerial","Bouteloua.gracilis",57.6923076923077,"blue grama","N","C4","P"
"88",2018,"TB","25","Basal","Bouteloua.gracilis",60.2739726027397,"blue grama","N","C4","P"
"89",2018,"TB","28","Aerial","Bouteloua.gracilis",48.2758620689655,"blue grama","N","C4","P"
"90",2018,"TB","28","Basal","Bouteloua.gracilis",66.6666666666667,"blue grama","N","C4","P"
"91",2018,"TB","32","Aerial","Bouteloua.gracilis",55.5555555555556,"blue grama","N","C4","P"
"92",2018,"TB","32","Basal","Bouteloua.gracilis",58.9473684210526,"blue grama","N","C4","P"
"93",2018,"TB","2","Aerial","Bouteloua.gracilis",6.17283950617284,"blue grama","N","C4","P"
"94",2018,"TB","2","Basal","Bouteloua.gracilis",6.38297872340426,"blue grama","N","C4","P"
"95",2018,"TB","20","Aerial","Bouteloua.gracilis",40,"blue grama","N","C4","P"
"96",2018,"TB","20","Basal","Bouteloua.gracilis",47.887323943662,"blue grama","N","C4","P"
