Year,site,genus_species,species_code,block,plant,percent_green,emerging_leaves,developed_leaves,height_cm,scenesced_leaves,leaf_area_cm,leaf_thickness_mm,wet_weight_g,biomass_mg,leaf_mg,comments
2020,TB,Logfia_arvensis,LOAR,1,3,40,4,26,6.8,11,0.056,,0.0009,0.146,0.0001,
2022,TB,Logfia_arvensis,LOAR,3,LG,35,3,9,4.9,8,0.05,0.037,0.0016,0.0084,0.0001,
2020,TB,Logfia_arvensis,LOAR,3,3,15,2,12,4.5,11,0.048,,0.0005,0.0064,0.0001,
2019,TB,Logfia_arvensis,LOAR,2,4,100,4,23,4.1,2,0.046,0.015,0.0001,0.0054,0.0001,Used mictobalance for dry leaf weight
2019,TB,Logfia_arvensis,LOAR,3,8,60,0,9,4.5,6,0.046,0.014,0.0001,0.0042,0.0001,Used mictobalance for dry leaf weight
2020,TB,Logfia_arvensis,LOAR,3,1,20,3,30,6,13,0.043,,0.0003,0.0092,0.0001,
2019,TB,Logfia_arvensis,LOAR,1,3,55,2,12,5.6,6,0.041,0.024,0.0001,0.0034,0.0001,Used mictobalance for dry leaf weight
2020,TB,Logfia_arvensis,LOAR,2,3,25,4,12,3.7,11,0.041,,0.0001,0.0084,0.0001,
2020,TB,Logfia_arvensis,LOAR,2,1,90,3,16,2.5,5,0.035,,0.0001,0.0038,0.0001,
2019,FK,Bromus_arvensis,BRAR,1,1,0,0,0,10,2,,,,0.0104,,leaf = dry weight
2019,FK,Bromus_arvensis,BRAR,1,2,0,0,0,7.5,4,,,,0.0064,,no leaf
2019,FK,Bromus_arvensis,BRAR,1,3,0,0,0,8.6,4,,,,0.0065,,
2019,FK,Bromus_arvensis,BRAR,2,1,80,0,0,11.1,3,,,,0.0068,,
2019,FK,Bromus_arvensis,BRAR,2,2,40,3,0,30.1,0,,0.012,0.0001,0.0594,0.0013,
2019,FK,Bromus_arvensis,BRAR,2,3,0,0,0,21.5,4,,,,0.0391,,
2019,FK,Hesperostipa_comata,HECO,2,1,95,1,1,20.1,3,,0.021,0.028,0.0543,0.0117,
2019,FK,Hesperostipa_comata,HECO,2,2,85,1,1,21.9,1,,0.025,0.053,0.0297,0.0289,
2019,FK,Hesperostipa_comata,HECO,2,3,90,2,1,19.1,0,,0.021,0.045,0.0215,0.0239,
2019,FK,Koeleria_macrantha,KOMA,1,1,85,0,4,20.6,0,,0.033,0.026,0.0282,0.0106,
2019,FK,Koeleria_macrantha,KOMA,1,2,80,2,1,10.8,0,,0.016,0.007,0.0315,0.0024,
2019,FK,Sphaeralcea_coccinea,SPCO,1,1,98,0,8,8.1,0,,0.031,0.04,0.1859,0.0162,
2019,FK,Sphaeralcea_coccinea,SPCO,1,2,100,1,6,9.5,0,,0.032,0.065,0.2126,0.0252,
2019,FK,Sphaeralcea_coccinea,SPCO,1,3,95,0,10,10,0,,0.023,0.041,0.2737,0.0147,
2019,FK,Sphaeralcea_coccinea,SPCO,2,1,70,0,6,5.7,1,,0.028,0.024,0.1518,0.0121,
2019,FK,Sphaeralcea_coccinea,SPCO,2,2,97,0,6,9.3,1,,0.031,0.095,0.2152,0.0343,
2019,FK,Sphaeralcea_coccinea,SPCO,2,3,100,1,9,11.7,0,,0.026,0.06,0.4129,0.0285,
2019,FK,Tragopogon_dubius,TRDU,1,1,80,0,10,30.8,3,,0.023,0.053,0.9876,0.0143,
2019,FK,Tragopogon_dubius,TRDU,1,2,96,1,5,18.2,1,,0.022,0.097,0.0894,0.0242,
2019,FK,Tragopogon_dubius,TRDU,1,3,75,0,12,32.1,9,,0.021,0.025,0.9087,0.0062,
2019,FK,Tragopogon_dubius,TRDU,2,2,80,0,4,29.4,6,,0.015,0.025,0.3398,0.0054,
2019,FK,Tragopogon_dubius,TRDU,2,3,94,1,26,38.2,3,,0.023,0.075,2.08,0.022,
2019,TB,Koeleria_macrantha,KOMA,3,9,95,0,2,41.6,1,,,,0.1565,,no leaves
2020,FK,Bromus_arvensis,BRAR,1,1,0,0,0,16.3,8,,,,0.0243,,no green leaves
2020,FK,Bromus_arvensis,BRAR,1,2,0,0,0,19.4,4,,,,0.0205,,no green leaves
2020,FK,Bromus_arvensis,BRAR,1,3,0,0,0,25.1,3,,,,0.0394,,no green leaves
2020,FK,Bromus_arvensis,BRAR,2,1,0,0,0,18.5,4,,,,0.0428,,no green leaves
2020,FK,Bromus_arvensis,BRAR,2,2,0,0,0,34.6,4,,,,0.1016,,no green leaves
2020,FK,Bromus_arvensis,BRAR,2,3,0,0,0,14.4,4,,,,0.0139,,no green leaves
2020,FK,Bromus_arvensis,BRAR,3,1,0,0,0,19,4,,,,0.0377,,no green leaves
2020,FK,Bromus_arvensis,BRAR,3,2,0,0,0,19.2,5,,,,0.025,,no green leaves
2020,FK,Bromus_arvensis,BRAR,3,3,0,0,0,15.3,4,,,,0.0073,,no green leaves
2020,FK,Sphaeralcea_coccinea,SPCO,3,1,80,2,7,6.2,2,,,0.044,0.1437,0.0144,"two different numbers reported for this, no way to determine which one is which"
2020,FK,Sphaeralcea_coccinea,SPCO,3,2,95,3,14,14.7,0,,,0.0622,0.5805,0.0229,"two different numbers reported for this, no way to determine which one is which"
2021,FK,Koeleria_macrantha,KOMA,1,LG,60,1,2,5.5,2,,,,,,
