Year,site,genus_species,species_code,block,plant,percent_green,emerging_leaves,developed_leaves,height_cm,scenesced_leaves,leaf_area_cm,leaf_thickness_mm,wet_weight_g,biomass_mg,leaf_mg,comments
2019,TB,Pascopyrum_smithii,PASM,1,1,60,1,1,26.7,2,1.407,0.026,0.035,0.0713,0.0106,
2022,FK,Koeleria_macrantha,KOMA,3,MG,95,2,2,9.8,1,1.39,0.032,0.0312,0.0251,0.0124,
2019,TB,Pascopyrum_smithii,PASM,2,4,85,1,3,15.9,0,1.379,0.021,0.04,0.0597,0.0181,
2020,TB,Pascopyrum_smithii,PASM,2,3,98,1,2,14,0,1.375,,0.0225,0.0464,0.0123,
2019,FK,Sphaeralcea_coccinea,SPCO,3,3,99,1,9,10.4,0,1.349,0.028,0.042,0.2587,0.0181,
2021,FK,Hesperostipa_comata,HECO,2,HG,95,1,2,9.5,0,1.33,0.032,0.0123,0.032,0.0125,
2021,TB,Bouteloua_gracilis,BOGR,2,HG,95,1,5,7.8,1,1.32,0.035,0.0223,0.0343,0.0093,
2021,TB,Koeleria_macrantha,KOMA,1,MG,85,0,3,5.7,2,1.32,0.039,0.0262,0.0182,0.0096,
2020,TB,Koeleria_macrantha,KOMA,1,1,95,0,2,19.7,1,1.308,,0.046,0.0284,0.0159,PASM not KOMA
2019,TB,Koeleria_macrantha,KOMA,3,8,98,1,2,8.9,0,1.291,0.035,0.026,0.0189,0.0095,
2020,TB,Vicia_americana,VIAM,2,3,85,2,6,19,6,1.291,,0.0205,0.1043,0.0096,
2021,TB,Koeleria_macrantha,KOMA,3,MG,95,0,3,7.5,1,1.28,0.038,0.0335,0.0207,0.0018,
2019,FK,Hesperostipa_comata,HECO,1,2,85,1,2,10.5,0,1.273,0.021,0.027,0.0199,0.0135,
2022,FK,Koeleria_macrantha,KOMA,2,HG,97,1,3,40.4,1,1.27,0.036,0.0327,0.0399,0.0142,
2022,FK,Tragopogon_dubius,TRDU,2,LG,98,0,12,16.3,2,1.27,0.03,0.0237,0.2945,0.0047,
2020,FK,Koeleria_macrantha,KOMA,1,2,70,0,2,30,0,1.269,,0.0298,0.0308,0.0155,Smaller
2022,TB,Koeleria_macrantha,KOMA,1,MG,90,1,3,7.6,1,1.26,0.038,0.0365,0.029,0.0136,
2020,FK,Hesperostipa_comata,HECO,2,2,75,0,2,27,1,1.25,,0.0826,0.0467,0.011,
2019,FK,Hesperostipa_comata,HECO,3,3,97,0,2,19.2,1,1.238,0.02,0.037,0.0295,0.0209,
2020,FK,Hesperostipa_comata,HECO,2,3,90,0,2,16.5,0,1.223,,0.0647,0.0149,0.0331,Big leaf
2020,TB,Koeleria_macrantha,KOMA,2,1,40,0,2,29,0,1.223,,0.03,0.0103,0.0153,Greenest
2021,FK,Koeleria_macrantha,KOMA,1,HG,75,0,2,8.3,0,1.21,0.048,0.0222,0.0148,0.0069,
2022,FK,Tragopogon_dubius,TRDU,2,HG,90,5,24,31.5,6,1.21,0.033,0.0906,2.5656,0.0193,
2022,FK,Tragopogon_dubius,TRDU,2,MG,85,4,15,25.4,6,1.21,0.024,0.0219,1.0855,0.0043,
2022,FK,Koeleria_macrantha,KOMA,3,LG,85,1,2,9,1,1.2,0.033,0.0281,0.0216,0.0116,
2022,TB,Koeleria_macrantha,KOMA,1,HG,95,1,2,12.6,1,1.2,0.035,0.0362,0.0191,0.0132,
2022,TB,Pascopyrum_smithii,PASM,2,LG,85,1,4,22.2,0,1.2,0.051,0.1266,0.2353,0.0511,
2019,FK,Hesperostipa_comata,HECO,3,2,99,0,2,16.8,0,1.187,0.032,0.028,0.0657,0.0128,
2020,TB,Vicia_americana,VIAM,1,1,80,0,9,21.5,10,1.168,,0.0203,0.2678,0.007,
2020,FK,Hesperostipa_comata,HECO,1,2,90,0,2,33,0,1.141,,0.0255,0.0075,0.0127,bigger leaf
2020,TB,Vicia_americana,VIAM,3,3,85,0,2,20.6,5,1.137,,0.013,0.0659,0.0074,
2021,FK,Tragopogon_dubius,TRDU,2,MG,25,3,3,16,9,1.13,0.022,0.0188,0.2382,0.0041,
2021,FK,Sphaeralcea_coccinea,SPCO,2,HG,97,0,5,6.4,0,1.11,0.039,0.0491,0.0663,0.0124,
2021,FK,Tragopogon_dubius,TRDU,3,MG,15,0,0,27.5,19,1.11,0.047,0.0106,0.5803,0.0027,
2021,FK,Hesperostipa_comata,HECO,2,LG,78,0,2,16.5,0,1.088,0.039,0.0277,0.0204,0.0048,
2020,FK,Koeleria_macrantha,KOMA,2,2,85,1,3,21.6,0,1.086,,0.0264,0.0179,0.0113,longest
2022,FK,Hesperostipa_comata,HECO,3,MG,85,1,1,21.2,2,1.08,0.018,0.0237,0.3769,0.0102,
2019,TB,Vicia_americana,VIAM,1,1,100,12,30,26.7,0,1.073,0.021,0.035,0.3535,0.0097,
2021,TB,Koeleria_macrantha,KOMA,2,MG,85,0,3,7.2,2,1.07,0.037,0.0249,0.0132,0.0109,
2019,TB,Bouteloua_gracilis,BOGR,3,9,85,1,3,11.5,2,1.069,0.016,0.02,0.0351,0.0076,Found in outplot
2022,FK,Tragopogon_dubius,TRDU,3,HG,93,0,22,35.5,6,1.06,0.019,0.0181,1.5689,0.0043,
2021,TB,Koeleria_macrantha,KOMA,3,HG,82,1,2,7,1,1.04,0.04,0.0199,0.0191,0.0064,
2020,FK,Sphaeralcea_coccinea,SPCO,2,2,95,0,4,6.3,0,1.038,,0.0293,0.0583,0.0112,
2020,FK,Sphaeralcea_coccinea,SPCO,3,3,95,0,8,20.1,0,1.037,,0.0329,0.5243,0.0139,
2020,FK,Tragopogon_dubius,TRDU,1,3,15,1,7,31.4,12,1.036,,0.0167,0.276,0.0031,
2021,FK,Tragopogon_dubius,TRDU,2,HG,65,0,5,16.5,5,1.03,0.041,0.0395,1.039,0.0024,
2019,TB,Koeleria_macrantha,KOMA,2,6,99,1,2,9.8,0,1.026,0.03,0.026,0.0138,0.0108,
2020,TB,Koeleria_macrantha,KOMA,1,3,100,1,2,8.1,0,1.023,,0.0268,0.0174,0.0076,Longest
2021,FK,Hesperostipa_comata,HECO,3,LG,95,0,3,8.1,0,1.02,0.03,0.0181,0.0102,0.0098,
2022,FK,Koeleria_macrantha,KOMA,2,LG,90,1,2,10.5,0,1.02,0.032,0.0253,0.0119,0.0102,
2022,FK,Koeleria_macrantha,KOMA,1,LG,98,2,2,13.3,0,1.015,0.036,0.0257,0.0209,0.0091,
2019,TB,Vicia_americana,VIAM,2,6,100,4,16,13.9,0,0.98,0.024,0.024,0.2348,0.0084,
2020,FK,Sphaeralcea_coccinea,SPCO,2,3,98,3,6,6.2,0,0.95,,0.0364,0.1203,0.0099,
2021,FK,Hesperostipa_comata,HECO,2,MG,60,0,2,8.8,1,0.94,0.024,0.0172,0.0031,0.0086,
2021,TB,Bouteloua_gracilis,BOGR,1,MG,100,1,2,3.9,0,0.93,0.02,0.0133,0.0084,0.0057,
2021,TB,Koeleria_macrantha,KOMA,3,LG,95,1,3,7,0,0.93,0.037,0.0222,0.016,0.0082,
2021,TB,Bouteloua_gracilis,BOGR,3,LG,95,1,3,9,0,0.91,0.023,0.013,0.0146,0.0052,
2020,FK,Koeleria_macrantha,KOMA,1,3,90,0,2,35.7,0,0.9,,0.0174,0.003,0.0069,
2021,FK,Sphaeralcea_coccinea,SPCO,3,HG,90,1,5,3.6,1,0.89,0.037,0.0345,0.098,,
2022,FK,Koeleria_macrantha,KOMA,2,MG,90,2,3,10.6,0,0.89,0.03,0.0213,0.04,0.0071,
2019,FK,Koeleria_macrantha,KOMA,2,2,90,3,3,16.6,2,0.882,0.019,0.024,0.0302,0.0107,
2021,TB,Bouteloua_gracilis,BOGR,2,MG,85,0,4,10.2,1,0.88,0.023,0.0167,0.0354,0.0068,
2022,TB,Koeleria_macrantha,KOMA,1,LG,99,1,2,7.1,0,0.88,0.03,0.253,0.0155,0.0108,
2019,FK,Hesperostipa_comata,HECO,1,1,75,0,2,17.9,2,0.878,0.035,0.0019,0.0233,0.0155,<0.001 == 0.0001
2020,FK,Koeleria_macrantha,KOMA,3,2,95,1,2,26.2,2,0.863,,0.0187,0.019,0.0062,
2021,FK,Sphaeralcea_coccinea,SPCO,2,MG,85,0,6,4.6,1,0.86,0.038,0.0292,0.0958,0.0104,
2021,TB,Bouteloua_gracilis,BOGR,1,HG,98,1,3,6.8,0,0.86,0.028,0.0101,0.0086,0.0051,
2022,TB,Koeleria_macrantha,KOMA,3,MG,100,0,1,8,0,0.85,0.032,0.0182,0.006,0.0066,
2019,FK,Hesperostipa_comata,HECO,3,1,98,1,2,8.5,0,0.849,0.034,0.032,0.0244,0.0175,
2020,TB,Koeleria_macrantha,KOMA,3,2,0,0,0,13.6,1,0.849,,0.0126,0.0382,0.0065,Dead
2022,FK,Hesperostipa_comata,HECO,1,MG,92,1,2,18.9,1,0.84,0.035,0.0172,0.028,0.0065,
2021,FK,Hesperostipa_comata,HECO,1,MG,97,1,2,9.1,0,0.83,0.03,0.0128,0.0146,0.0053,
2021,TB,Bouteloua_gracilis,BOGR,1,LG,99,1,3,6.5,0,0.83,0.02,0.0099,0.0104,0.0043,
2020,TB,Bouteloua_gracilis,BOGR,1,1,98,1,3,9,0,0.817,,0.0154,0.0301,0.0089,
2021,FK,Hesperostipa_comata,HECO,1,LG,100,0,3,15.1,0,0.817,0.091,0.0131,0.0401,0.0062,
2020,FK,Koeleria_macrantha,KOMA,3,1,90,1,2,21.8,0,0.816,,0.0203,0.0071,0.0071,
2020,FK,Tragopogon_dubius,TRDU,3,1,70,0,6,25.6,4,0.81,,0.0122,0.3385,0.0026,
2019,FK,Koeleria_macrantha,KOMA,3,1,90,1,2,11,0,0.8,0.022,0.024,0.009,0.0074,
2021,FK,Tragopogon_dubius,TRDU,3,LG,,0,9,24.5,13,0.79,0.045,0.0117,0.8719,,
2021,TB,Bouteloua_gracilis,BOGR,2,LG,90,1,3,7.1,0,0.79,0.031,0.0136,0.031,0.0066,
2019,TB,Bouteloua_gracilis,BOGR,3,7,90,1,4,8,1,0.786,0.02,0.012,0.0219,0.0056,
2020,FK,Koeleria_macrantha,KOMA,2,1,40,0,3,36.1,0,0.784,,0.0218,0.0137,0.0082,Larger
2019,FK,Koeleria_macrantha,KOMA,3,3,85,1,3,12.9,0,0.768,0.026,0.02,0.0178,0.0093,
2020,TB,Vicia_americana,VIAM,2,2,30,1,2,9,4,0.765,,0.0139,0.0649,0.0019,
2020,TB,Koeleria_macrantha,KOMA,2,2,80,0,2,10.1,0,0.757,,0.0139,0.0047,0.0076,Claspy
2021,FK,Hesperostipa_comata,HECO,1,HG,80,0,2,9.5,0,0.755,0.026,0.0114,0.0146,0.0041,
2022,TB,Bouteloua_gracilis,BOGR,2,MG,98,1,3,6.4,0,0.75,0.034,0.0142,0.0191,0.005,
2022,TB,Bouteloua_gracilis,BOGR,1,LG,90,2,2,2.4,0,0.72,0.033,0.006,0.0045,0.0021,
2022,FK,Bromus_arvensis,BRAR,1,HG,95,0,1,10.5,2,0.71,0.022,0.0144,0.0215,0.0037,
2019,FK,Koeleria_macrantha,KOMA,2,3,90,1,2,14.7,0,0.704,0.024,0.025,0.0193,0.0113,
2021,FK,Hesperostipa_comata,HECO,3,MG,96,0,2,9.7,0,0.68,0.036,0.011,0.0125,0.0045,
2021,FK,Koeleria_macrantha,KOMA,3,HG,95,0,3,5.9,0,0.68,0.036,0.0189,0.0126,0.0069,
2020,TB,Bouteloua_gracilis,BOGR,1,2,60,0,3,11.6,1,0.671,,0.0077,0.0076,0.0037,
2022,FK,Bromus_arvensis,BRAR,3,HG,85,0,2,21.2,4,0.64,0.023,0.0074,0.0742,0.003,
2022,TB,Bouteloua_gracilis,BOGR,3,MG,40,0,2,9.3,3,0.64,0.034,0.0102,0.0243,0.0035,
2020,TB,Bouteloua_gracilis,BOGR,3,1,50,0,2,4.1,0,0.637,,0.0064,0.0087,0.0041,
2021,FK,Sphaeralcea_coccinea,SPCO,3,LG,70,0,4,3.1,1,0.62,0.04,0.022,0.0321,0.0029,
2022,FK,Tragopogon_dubius,TRDU,3,LG,70,0,13,29.2,9,0.61,0.024,0.0103,1.8143,0.0018,
2021,FK,Bromus_arvensis,BRAR,1,HG,0,0,0,13.2,4,0.609,0.031,0.0066,0.0113,0.0015,
2019,FK,Koeleria_macrantha,KOMA,2,1,100,2,2,10.8,0,0.603,0.011,0.017,0.0134,0.007,
2022,FK,Bromus_arvensis,BRAR,3,MG,70,0,1,22.4,3,0.6,0.023,0.0144,0.184,0.0034,
2021,TB,Pascopyrum_smithii,PASM,3,LG,70,1,1,14.6,1,0.59,0.038,0.0341,0.0166,0.0141,
2019,FK,Koeleria_macrantha,KOMA,1,3,98,1,3,16.1,1,0.581,0.017,0.02,0.0285,0.0087,
2020,TB,Bouteloua_gracilis,BOGR,1,3,90,0,5,6,2,0.579,,0.0109,0.0194,0.0043,
2019,TB,Koeleria_macrantha,KOMA,3,7,80,0,0,39.8,3,0.577,0.027,0.008,0.1682,0.0035,
2019,FK,Bromus_arvensis,BRAR,3,3,95,0,0,28.5,6,0.567,0.012,0.009,0.0926,0.0029,
2019,FK,Koeleria_macrantha,KOMA,3,2,70,1,2,10.6,0,0.566,0.035,0.019,0.0085,0.0075,
2022,FK,Bromus_arvensis,BRAR,2,LG,75,0,1,16.1,4,0.54,0.022,0.01,0.1291,0.0044,
2022,TB,Bouteloua_gracilis,BOGR,1,HG,97,1,3,4.3,0,0.54,0.029,0.0136,0.0178,0.0056,
2020,TB,Bouteloua_gracilis,BOGR,3,3,55,1,2,5.4,0,0.522,,0.0128,0.0088,0.0051,
2020,TB,Vicia_americana,VIAM,3,1,25,0,2,11.1,5,0.515,,0.0039,0.0375,0.004,
2020,TB,Bouteloua_gracilis,BOGR,2,1,85,1,2,5.9,0,0.51,,0.0049,0.0044,0.0026,
2022,FK,Bromus_arvensis,BRAR,2,MG,80,0,1,19.6,4,0.51,0.027,0.0081,0.1591,0.0036,
2019,TB,Koeleria_macrantha,KOMA,2,4,100,1,2,5.5,0,0.509,0.034,0.011,0.0095,0.0046,
2021,FK,Koeleria_macrantha,KOMA,1,MG,5,0,0,20.4,2,0.5,0.024,0.0075,0.0499,0.004,
2021,FK,Koeleria_macrantha,KOMA,3,LG,25,0,3,3.8,0,0.5,0.03,0.0125,0.0067,0.0044,
2022,TB,Bouteloua_gracilis,BOGR,2,LG,99,1,3,4.4,0,0.5,0.032,0.0143,0.0151,0.0053,
2021,FK,Koeleria_macrantha,KOMA,2,MG,60,0,3,5.7,2,0.49,0.031,0.0107,0.0109,0.0027,
2019,TB,Bouteloua_gracilis,BOGR,1,1,100,1,3,9.4,0,0.488,0.011,0.005,0.0135,0.0041,
2021,FK,Koeleria_macrantha,KOMA,2,HG,70,0,3,4.8,0,0.48,0.032,0.0104,0.0155,0.0052,
2020,TB,Bouteloua_gracilis,BOGR,2,2,20,0,3,4.7,0,0.476,,0.0082,0.0023,0.0019,
